Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,23153,25965,24029,38736,37991,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,229,625,750,1050,791,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,158,1983,2254,2192,2031,1722,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Strategic Investment Program,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,3718,3561,8827,3195,9704,4840,2930,8284,5000,4000,12450,0,0,0,0,0,0,0
Economic Development and Government Oversight,Strategic Investment Program,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,6317,"2,888",1625,683,1427,1030,1899,6583,0,0,0,0,0,0,0,0,0,39871,18210,0,0,0,0,0,0,0
Parks and the Environment,Adirondack Park Agency,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
Parks and the Environment,Adirondack Park Agency,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
Parks and the Environment,Adirondack Park Agency,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,0,0,25,88,50,50,50,50,50,50,50,50,50,40,0,0,0
Parks and the Environment,Adirondack Park Agency,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,327,347,289,423,261,383,326,360,520,403,424,726,928,573,524,618,510,670,841,663,599,797,510,616,485,561
Parks and the Environment,Adirondack Park Agency,General Fund,Personal Service,State Operations Account,10050,State Purposes,4401,"3,950",4179,4112,4036,3893,3843,3730,3779,4234,4729,4547,4081,3944,3704,3603,3329,3546,3398,3253,2982,2868,2710,2606,2664,2803
Parks and the Environment,Adirondack Park Agency,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,350,0,0,12,53,140,125,100,55,81,139,212,192,32,120,576,318,217,62,192,189,132,215,173,52,112
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Federal,Capital Projects,Federal Capital Projects,313DD,Fed Grants-Cap,12587,"8,667",2489,55733,1997,23044,2062,2231,6322,6706,939,6594,8480,67724,9412,5193,5708,12794,6494,4295,4692,5367,1584,3303,6429,3349
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Federal,Grants to Local Gov.,Federal Capital Projects,313DD,Fed Grants-Cap,155000,"220,765",154774,157489,158103,154748,265533,166123,172913,152217,75109,75108,118136,38090,125130,146184,146264,147345,150401,258434,178792,66299,175781,215680,239595,68772
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Federal,Grants to Local Gov.,Federal Capital Projects,313FS,Federal Stimulu,0,0,0,0,0,0,31568,106916,110589,146550,36941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,54375,"59,798",45907,31839,18086,19405,18289,18260,18127,23347,19975,12520,42414,34075,19086,16827,9769,17646,20864,17184,17065,15858,18753,10656,27070,29653
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,0,"4,400",3091,4515,435,0,35,0,152,0,16,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300AA,CPF - Advances,8370,"4,196",3506,5065,2542,2038,2295,2246,3767,2769,17470,5684,8758,12446,2206,3345,26883,7829,4823,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300AA,CPF - Advances,0,0,0,0,0,0,2875,2500,0,406,0,0,280,4412,0,0,0,1259,10329,6353,9349,1365,1532,6273,5704,4343
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300BB,CPF - GO Bonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111071,161914,122821,164100,140797,69214,67406,-123910,21245
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300BB,CPF - GO Bonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16535,8876,55242,-12914,56762,31545,33949,209924,62224
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300BD,CPF-EQBA(Bond),615,0,0,0,0,0,0,0,2996,672,511,927,2240,3341,4018,1421,5824,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300BD,CPF-EQBA(Bond),0,"4,151",174,0,0,2847,258,1234,0,0,0,0,54,-685,0,375,204,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300BE,CPF-PWBA(Bond),288,0,0,0,0,0,0,0,744,1456,535,1779,1425,4533,2050,100,900,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300BE,CPF-PWBA(Bond),0,0,0,0,0,75,737,149,727,0,0,0,0,-3353,0,0,1460,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300BK,CPF-EQBA86(Bond,2807,"5,278",-1151,-3179,-1420,-1607,3998,3299,5183,6302,14152,2822,3575,7094,39241,50049,30896,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300BK,CPF-EQBA86(Bond,1000,482,1504,1328,4573,10455,77,205,-3268,1094,2923,2038,773,-600,2307,13674,8634,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300BM,CPF-1996CWA(Bon,3515,8,228,1300,1168,1736,3230,3240,48107,36290,38488,38119,64121,39910,60393,56490,109775,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300BM,CPF-1996CWA(Bon,0,858,3393,7012,13473,27366,10969,29777,578,5785,2104,3760,10577,7273,11302,3927,10476,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,14892,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29469,30080,51298,35974,13614,34659,43136,48417,13733
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CD,CPF-SRF,0,0,0,0,0,0,0,0,0,0,0,0,61,12659,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CD,CPF-SRF,30000,"35,432",29269,29638,30793,30950,53100,33216,34583,30443,15022,15022,23627,7272,25026,29237,29253,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CE,CPF-Onondaga,0,0,0,0,0,0,0,0,5660,5880,2955,7729,9232,772,8312,9000,10000,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CE,CPF-Onondaga,0,0,0,0,0,0,0,25460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CF,CPF-DEC Reg,132985,"99,299",44465,45255,23043,25478,22620,24742,405,773,967,19632,1886,14,12076,9653,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CF,CPF-DEC Reg,209005,"97,311",56890,30568,5010,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300SF,CPF-Settlements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0,0,0,0,0,0,0,0,0,0,-564,514,486,903,34,2054,2165,1764,4741,3638,0,0,123,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3436,663,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Environmental Protection Fund,30450,Environ Protect,210275,"110,239",74376,57254,85781,71679,79521,78422,112889,110278,66473,48925,128263,121091,36583,44284,46331,82570,72174,102522,62985,70020,43499,25565,10146,5455
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Environmental Protection Fund,30450,Environ Protect,0,"108,194",66039,60143,84712,67900,73333,74792,33884,27997,38945,31291,25001,20538,16359,8243,8158,9175,11818,12097,13144,9676,6195,7559,2470,770
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Environmental Protection Fund,304CC,Environmental P,45000,0,0,0,0,0,0,0,1632,10000,34000,100000,0,14480,71036,31018,57004,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Environmental Protection Fund,304SF,EPF-Settlements,0,0,18137,48330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Environmental Protection Fund,304SF,EPF-Settlements,0,0,23653,29880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Forest Preserve Expansion Fund,31450,FPEF,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,18,0,0,0,55,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Hazardous Waste Remedial Fund,31500,Hazardous Waste,9996,"4,887",2592,24691,29185,-975,11600,11863,23069,58377,58333,1430,114528,-11075,36495,-14055,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Fringe Benefits,Hazardous Waste Remedial Fund,31500,Hazardous Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10194,9240,5772,8152,4697,4861,5631,5064,6632,4860,4941,5198
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Hazardous Waste Remedial Fund,31500,Hazardous Waste,0,"1,808",4473,4718,11308,10151,5186,3494,3530,1963,1025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Non-Personal Service,Hazardous Waste Remedial Fund,31500,Hazardous Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,960,845,1238,1247,1363,1474,1754,1474,956,1585,1662
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Personal Service,Hazardous Waste Remedial Fund,31500,Hazardous Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23712,21570,19025,19987,19653,19544,18160,18096,17444,17466,17263,16935
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Hazardous Waste Remedial Fund,315CC,HWRF - Auth,93000,"94,685",107928,99000,65775,93000,85019,79480,71500,36064,60000,110000,0,97585,-1000,22134,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32200,Misc. Capital P,170,48,161,1,179,15,18,31,27,36,21,38,258,12,149,204,45,77,17,20,5,0,0,257,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32217,Habitat Conserv,1500,951,804,763,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32219,NY Env Protecti,12600,"19,335",12447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Capital Projects,Natural Resources Damages Fund,31900,Natural Resourc,1017,"1,640",1959,1443,913,1145,1426,1059,2624,6377,1111,2215,1210,699,3560,147,109,172,414,333,510,148,292,3002,8890,0
Parks and the Environment,"Environmental Conservation, Department of",Capital Projects Funds - Other,Grants to Local Gov.,Natural Resources Damages Fund,31900,Natural Resourc,0,109,156,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,25,0,11,268,501,704,1491,1557,1315,916,1076,767,540,960,993,1912,2165,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,2,0,0,25,0,8,29,321,41,7,23,1,0,0,0,0,0,9,50,4,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,104,167,98,59,117,24,24,255,29,284,117,200,89,149,94,169,492,719,219,157,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,0,5,15,0,0,18,20,34,40,32,35,20,0,0,9,5,0,35,32,36,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,0,630,53,224,256,309,721,650,295,892,443,2217,4808,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,1874,"2,325",2319,1793,4153,2772,3746,997,3019,1558,5927,6170,4032,5808,1744,1839,1313,2313,3399,2001,793,837,813,1280,7992,4637
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,21768,"12,938",11798,6442,8773,9761,8949,8472,14083,15386,16750,18521,26439,25557,22415,25172,24494,25224,25912,22962,19855,18378,14923,13868,18291,15426
Parks and the Environment,"Environmental Conservation, Department of",General Fund,Personal Service,State Operations Account,10050,State Purposes,88366,"90,087",82506,83931,85641,82168,82098,81156,96204,88184,100081,107393,109497,93661,79073,84348,71950,80573,79639,77488,72493,71759,65904,63292,68840,73427
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,16305,"18,648",16099,13365,11764,13726,14851,10334,11854,8903,9691,11890,14346,13671,9296,9351,8593,9562,9340,7277,8487,5615,10467,6242,6490,6937
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,381,431
Parks and the Environment,"Environmental Conservation, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,15556,"13,753",13330,17415,15468,12928,16014,16212,17538,14431,15973,19247,17920,15627,23129,14351,15575,15394,11782,11062,10050,9868,8176,6693,13503,10493
